,0
inflation_lag_2,0.33115602
inflation_lag_1,0.17042512
FEDFUNDS_lag_10,0.08240576
IP_growth_lag_2,0.047813825
IP_growth_lag_1,0.03381026
inflation_lag_12,0.028169885
FEDFUNDS_lag_9,0.02201754
FEDFUNDS_lag_6,0.01993004
inflation_lag_9,0.019344136
inflation_lag_4,0.018672056
FEDFUNDS_lag_8,0.018664254
IP_growth_lag_3,0.017895818
FEDFUNDS_lag_4,0.017602365
inflation_lag_3,0.015972547
UNRATE_lag_12,0.015949322
UNRATE_lag_11,0.014739236
IP_growth_lag_7,0.014424316
UNRATE_lag_5,0.013696681
inflation_lag_10,0.012746394
UNRATE_lag_8,0.011118027
