order,AIC
"(3, 1, 3)",213.0327964178882
"(3, 0, 2)",227.8385151884703
"(1, 0, 3)",231.93855638574817
"(2, 0, 3)",232.26888304909113
"(1, 0, 2)",233.76530519698184
"(3, 0, 0)",233.88952512614193
"(3, 0, 3)",234.09538595046044
"(2, 0, 1)",234.20498400434303
"(1, 0, 1)",234.78890229463
"(2, 1, 3)",235.02320080255507
"(3, 0, 1)",235.3651696813689
"(2, 0, 2)",237.48893402737448
"(2, 0, 0)",241.43717690180628
"(1, 1, 3)",248.65741309192578
"(0, 1, 3)",248.85419212050166
"(2, 1, 0)",250.5310568079193
"(1, 1, 2)",250.63871312767628
"(2, 1, 2)",251.2440524152908
"(0, 1, 1)",251.95458040738723
"(2, 1, 1)",252.32776946664578
"(3, 1, 0)",252.33449416208447
"(0, 1, 2)",253.00068973828326
"(1, 1, 1)",253.44847194946453
"(3, 1, 2)",254.05281717494756
"(3, 1, 1)",254.31426512527327
"(1, 1, 0)",263.9503784837634
"(1, 0, 0)",301.89707659867787
"(0, 0, 3)",343.9401240426081
"(0, 0, 2)",472.1772102430068
"(0, 0, 1)",634.469861377101
