Window,Model,MAE,RMSE,n_obs
COVID and inflation surge: 2020-2022,SARIMA,0.331352770885877,0.4198705031869733,36
COVID and inflation surge: 2020-2022,SARIMAX,0.3456063054625332,0.5104984946769674,36
COVID and inflation surge: 2020-2022,Naive,0.41000175100593705,0.5222145210199232,36
COVID and inflation surge: 2020-2022,ARIMA,0.4280860937938002,0.5390191653265993,36
COVID and inflation surge: 2020-2022,VAR,0.5269949017050047,0.6495880533557661,36
COVID and inflation surge: 2020-2022,ARIMAX,0.5826309763570696,0.7166290826590522,36
COVID and inflation surge: 2020-2022,Ridge,1.0802516026770645,1.3701720627541722,36
COVID and inflation surge: 2020-2022,XGBoost,2.0158260885356722,2.591668673808774,36
Full test: 2019-2026,SARIMA,0.22474983803028367,0.30597534887581157,88
Full test: 2019-2026,SARIMAX,0.26265831435242126,0.39167143605414445,88
Full test: 2019-2026,ARIMA,0.2949693849739678,0.4063277969296996,88
Full test: 2019-2026,Naive,0.3080076390683528,0.4200442332779076,88
Full test: 2019-2026,VAR,0.3557233182492751,0.47747778119378165,88
Full test: 2019-2026,ARIMAX,0.420279029971909,0.5349109538774157,88
Full test: 2019-2026,Ridge,0.5859557911086825,0.9107641675098237,88
Full test: 2019-2026,XGBoost,1.017774154902015,1.7142095553536614,88
Post-COVID disinflation: 2023-2026,SARIMA,0.14703098893302308,0.1949551222275417,40
Post-COVID disinflation: 2023-2026,ARIMA,0.19804656321232222,0.28588142776291253,40
Post-COVID disinflation: 2023-2026,SARIMAX,0.2151187163049751,0.3048112584709704,40
Post-COVID disinflation: 2023-2026,VAR,0.25172999799894985,0.3249522797605111,40
Post-COVID disinflation: 2023-2026,Ridge,0.2656770908842019,0.3502817022279586,40
Post-COVID disinflation: 2023-2026,Naive,0.2524142123930395,0.35517896670674765,40
Post-COVID disinflation: 2023-2026,ARIMAX,0.3343980858237384,0.3817958337181478,40
Post-COVID disinflation: 2023-2026,XGBoost,0.36232627275837637,0.6338991006979235,40
Pre-COVID: 2019,SARIMA,0.1640038697877062,0.17603404858809293,12
Pre-COVID: 2019,SARIMAX,0.172279667846906,0.18290785798878098,12
Pre-COVID: 2019,Ridge,0.17066402381847098,0.20452715460430565,12
Pre-COVID: 2019,VAR,0.18855296871650387,0.23241421425540537,12
Pre-COVID: 2019,Naive,0.18733672550664457,0.23503505868643976,12
Pre-COVID: 2019,XGBoost,0.20844462781317072,0.24380146347360748,12
Pre-COVID: 2019,ARIMA,0.21869533105328934,0.2582590918491755,12
Pre-COVID: 2019,ARIMAX,0.21949300464366273,0.2678048190112094,12
