Model,Lag,Ljung-Box Statistic,p-value,Conclusion 5pct
ARIMA,6,6.121259498785678,0.4097446273153268,No residual autocorrelation
ARIMA,12,22.393411786824977,0.03333998727803011,Residual autocorrelation remains
ARIMA,24,29.852885779982874,0.18967562424547635,No residual autocorrelation
ARIMAX,6,6.823444917492185,0.3374841127146798,No residual autocorrelation
ARIMAX,12,23.309314536896345,0.025211830926688713,Residual autocorrelation remains
ARIMAX,24,31.08040524177202,0.151477816268478,No residual autocorrelation
SARIMA,6,7.314905981430035,0.292703966792455,No residual autocorrelation
SARIMA,12,11.108508622883685,0.5196431031851978,No residual autocorrelation
SARIMA,24,13.909914664328234,0.9486588938023937,No residual autocorrelation
SARIMAX,6,10.230571611222071,0.11527197598568494,No residual autocorrelation
SARIMAX,12,14.002568622907113,0.300544278290098,No residual autocorrelation
SARIMAX,24,17.321324392493224,0.8346378031172325,No residual autocorrelation
