feature,importance
inflation_lag_2,0.28632593
inflation_lag_1,0.17923631
IP_growth_lag_6,0.06589663
FEDFUNDS_lag_1,0.06303118
IP_growth_lag_2,0.04697845
FEDFUNDS_lag_8,0.034139905
IP_growth_lag_1,0.028100068
inflation_lag_9,0.028095974
FEDFUNDS_lag_9,0.026665092
inflation_lag_3,0.026194535
inflation_lag_12,0.02524718
UNRATE_lag_5,0.020174993
IP_growth_lag_3,0.019183457
FEDFUNDS_lag_7,0.0142057
UNRATE_lag_9,0.013861253
FEDFUNDS_lag_12,0.013822374
UNRATE_lag_11,0.01305391
inflation_lag_11,0.012725728
IP_growth_lag_7,0.011511643
UNRATE_lag_12,0.010356253
UNRATE_lag_10,0.010329786
UNRATE_lag_2,0.0086319875
FEDFUNDS_lag_10,0.008444898
FEDFUNDS_lag_6,0.007145196
inflation_lag_7,0.0063017937
inflation_lag_6,0.0056067524
inflation_lag_8,0.0051886025
FEDFUNDS_lag_4,0.00356487
FEDFUNDS_lag_2,0.0031829027
inflation_lag_5,0.0027966844
inflation_lag_4,0.0
inflation_lag_10,0.0
UNRATE_lag_4,0.0
UNRATE_lag_3,0.0
UNRATE_lag_1,0.0
FEDFUNDS_lag_5,0.0
UNRATE_lag_8,0.0
FEDFUNDS_lag_3,0.0
UNRATE_lag_6,0.0
UNRATE_lag_7,0.0
IP_growth_lag_4,0.0
FEDFUNDS_lag_11,0.0
IP_growth_lag_5,0.0
IP_growth_lag_8,0.0
IP_growth_lag_9,0.0
IP_growth_lag_10,0.0
IP_growth_lag_11,0.0
IP_growth_lag_12,0.0
